,fun,flirt,hand_slide,original,not_define,speak,local_person,friend,Gender,Old,final_fantasy,bank_and_money,love,not_hurtless,your_score_to_all,y
0,0.7147972530183636,0.6257131619782114,1.0,0.8760784439537098,0.7284553835911132,0.8137068802092954,0.23345319737509201,0.16551203500243483,1.0,1.0,0.7648432592546984,0.784136345405783,-0.034695153648689026,1.3517698132813214,2.340205023822982,1.0
1,0.7638873203784322,0.6058072175865549,1.0,0.9090842260677616,0.7435187814228602,0.804785827219944,0.11002268534893955,0.12708309732441367,0.996588788411387,1.0,0.7148697797440393,0.7802448599715663,-0.0493248135011792,1.4678358188695233,2.261419971859291,1.0
2,0.6786309661968586,0.5859764811841413,0.9503747929742598,0.9020376779642223,0.6950366608478876,0.7866277671632605,0.16695337837193175,0.15521194597254642,0.9757641716103472,1.0,0.6582254452353575,0.852385640890007,-0.046414838380792675,1.3563886752619827,2.2451325158325144,1.0
3,0.6886473493173326,0.5536826455508305,1.0,0.8808239269818086,0.7425909479553902,0.8109752011090906,0.18978737526606182,0.20357062878526547,0.9530013845907617,0.9888467356529524,0.767678778891371,0.7710908900844183,-0.046555796350538636,1.418781215582988,2.3209073251814694,1.0
4,0.7053288061591978,0.6358640642572035,1.0,0.907841933749439,0.7863901776390845,0.8349874500835415,0.19070607411353274,0.07905810221888925,0.9392895145205277,1.0,0.6411276081412531,0.7921341916337503,-0.05983179857846431,1.4613750715729559,2.303743025415128,1.0
5,0.79476935570375,0.606282043342518,1.0,0.8913627052708505,0.7554536358615529,0.7593719247180803,0.20195654105281258,0.07853504526114012,0.9429708975729176,0.9557574356798053,0.6903042964681195,0.8204807701828586,-0.003327896181598719,1.3943995749393245,2.240082483747458,1.0
6,0.7415705770522916,0.5879415040916769,1.0,0.9287138182998369,0.7889063526101364,0.7539372281257507,0.11766644106653529,0.14209707385523263,1.0,1.0,0.7360834069198503,0.792450144087829,-0.034183475388224804,1.394849109701839,2.3129583302922483,1.0
7,0.6791132526734438,0.651871664009821,1.0,0.911196014262924,0.7595107707254176,0.8029781736281087,0.149391486632894,0.14756623126764648,0.9911809123243992,1.0,0.6441174752839469,0.7640505516344296,-0.021975500857016723,1.44117646700016,2.2548661880406136,1.0
8,0.7241672396553339,0.5877400464038515,0.9310095235109654,0.9290015922889112,0.7341276779902052,0.7397037455127358,0.22229449385774486,0.16983705419424389,0.9869334619344957,0.9767990000236456,0.6707394484810857,0.7406023349240851,0.015339916059785852,1.4531684834818022,2.3438339591541353,1.0
9,0.759641150215036,0.668308770172675,1.0,0.8385600461858096,0.7925994369919239,0.8694576152575713,0.2067984210764252,0.11254737840752481,0.94775084795067,1.0,0.6667838370104862,0.8216883157974645,-0.05777000114032027,1.3541744994650788,2.316519939741238,1.0
10,0.6818636286022781,0.5598876310182188,0.9322185997170388,0.9299339624535663,0.7723657561068804,0.7480329663469265,0.15194665002725935,0.14563431058046195,0.9709300628834512,0.9889765097236808,0.6787189908199474,0.8229292974390057,0.009136691777420769,1.3803284896894128,2.3149350448536716,1.0
11,0.715199955800004,0.6405027024492904,1.0,0.8196304729420486,0.7122147185640663,0.8481476607628465,0.1319030858308316,0.2007131703081082,0.9415080020562172,1.0,0.639712228807275,0.8014643475909112,0.04794828052437866,1.4282431774175577,2.327407226207268,1.0
12,0.7846805130225216,0.5569978511508583,0.9969155939197224,0.8039891360748019,0.8092967406618241,0.7652748704018243,0.15723612581562715,0.1213637131607465,1.0,0.9941974905059636,0.7085336324919138,0.841287648870136,0.02826348631661464,1.4007309323325696,2.253057984470673,1.0
13,0.7347860702184716,0.6292334284578411,0.967398383462311,0.889722987513857,0.7956678309939123,0.8098516236470754,0.1357582914847948,0.19507854457004078,1.0,1.0,0.7562415637233492,0.7717953104390788,0.06415587619624433,1.4506491939370723,2.263527933811575,1.0
